x,y,Elevation,Aspect,Slope
277957.9469,4866056.412,1.434334584,0.335027997,0.259638891
278007.9469,4866056.412,1.437417002,0.276869416,0.094528483
278057.9469,4866056.412,1.437496882,0.334478865,0.611978784
278107.9469,4866056.412,1.448079298,0.403193922,1.062102049
278157.9469,4866056.412,1.478142562,0.442501112,0.602014107
278207.9469,4866056.412,1.500939828,0.392283298,-0.004790862
278257.9469,4866056.412,1.504030253,0.247156078,-0.157429105
278307.9469,4866056.412,1.491346557,0.114619644,0.022713376
278357.9469,4866056.412,1.463072387,0.058725963,0.573846431
278407.9469,4866056.412,1.414803672,-0.000408757,1.003211069
278457.9469,4866056.412,1.354451961,-0.004882468,1.084926408
278507.9469,4866056.412,1.297366646,0.019183933,1.53821912
278557.9469,4866056.412,1.266265186,0.328285617,0.932608303
278607.9469,4866056.412,1.273347974,0.303779698,0.331332909
278657.9469,4866056.412,1.287206413,0.451883842,0.830461405
278707.9469,4866056.412,1.314445415,0.300079103,1.505362299
278757.9469,4866056.412,1.314846201,0.396499797,0.418057258
278807.9469,4866056.412,1.37262613,0.802219792,0.882474205
278857.9469,4866056.412,1.451272137,0.773157176,0.261197069
278907.9469,4866056.412,1.515638962,0.721015571,0.574926994
278957.9469,4866056.412,1.580240818,0.742838939,0.326634911
279007.9469,4866056.412,1.622433343,0.420210599,-0.07811123
279057.9469,4866056.412,1.623097251,0.11473111,-0.4118374
279107.9469,4866056.412,1.595137343,-0.145757588,-0.439148608
279157.9469,4866056.412,1.540663736,-0.266969911,0.542091454
279207.9469,4866056.412,1.453962574,-0.231142428,0.447251666
279257.9469,4866056.412,1.37677012,-0.231663262,1.114441023
279307.9469,4866056.412,1.273463123,-0.181964151,1.627952162
279357.9469,4866056.412,1.170594734,-0.265727838,0.795935838
279407.9469,4866056.412,1.073742925,-0.332049217,1.278465271
279457.9469,4866056.412,0.979075164,-0.330825963,1.150497867
279507.9469,4866056.412,0.848665703,-0.262964024,1.690369796
279557.9469,4866056.412,0.725929246,-0.288995567,1.688804441
279607.9469,4866056.412,0.655163734,0.017672655,0.921529598
279657.9469,4866056.412,0.622581095,0.1365977,0.472510502
279707.9469,4866056.412,0.588223413,0.044321697,0.301867817
279757.9469,4866056.412,0.564878579,0.164381901,0.2400378
279807.9469,4866056.412,0.565614184,0.351096651,0.555898594
279857.9469,4866056.412,0.575981231,0.320255563,0.877607019
279907.9469,4866056.412,0.554641731,0.046401475,1.236240148
279957.9469,4866056.412,0.513784678,0.409036812,0.117505962
280007.9469,4866056.412,0.513070406,0.05773986,1.150316158
280057.9469,4866056.412,0.483538171,0.452592216,1.44045858
280107.9469,4866056.412,0.522401522,0.25584743,1.131879314
280157.9469,4866056.412,0.497559913,-0.050637782,1.104508233
280207.9469,4866056.412,0.405451881,-0.347613307,1.639912243
280257.9469,4866056.412,0.291150494,-0.340505026,0.731668924
280307.9469,4866056.412,0.174731563,-0.356048392,1.594123005
280357.9469,4866056.412,0.055861883,-0.402587878,1.705586969
280407.9469,4866056.412,-0.066160715,-0.405634468,0.537253075
280457.9469,4866056.412,-0.175133478,-0.424601954,1.057079122
280507.9469,4866056.412,-0.279438938,-0.38901596,1.154833744
280557.9469,4866056.412,-0.377749416,-0.348100376,0.739918038
280607.9469,4866056.412,-0.461096713,-0.103565083,0.08692282
280657.9469,4866056.412,-0.500668456,-0.124905815,-0.132574943
280707.9469,4866056.412,-0.538005417,-0.111360976,-0.549340149
280757.9469,4866056.412,-0.586560046,-0.209002176,0.045783523
280807.9469,4866056.412,-0.664116416,-0.349476827,1.288117839
280857.9469,4866056.412,-0.781629214,-0.429233199,1.483420649
280907.9469,4866056.412,-0.921951571,-0.471115633,1.005569999
280957.9469,4866056.412,-1.026351782,-0.448960723,1.345635346
281007.9469,4866056.412,-1.127866793,-0.294996628,0.664538407
281057.9469,4866056.412,-1.213661968,-0.240341012,0.359426116
281107.9469,4866056.412,-1.278720532,-0.221450814,0.314079654
281157.9469,4866056.412,-1.329318992,-0.029646784,0.250289152
281207.9469,4866056.412,-1.369612172,0.084845302,0.713386639
281257.9469,4866056.412,-1.40571272,0.028701551,0.607037533
281307.9469,4866056.412,-1.437385326,0.078023788,0.3802316
281357.9469,4866056.412,-1.461723094,0.301667092,0.106578524
281407.9469,4866056.412,-1.454566262,0.137116887,-0.414143667
281457.9469,4866056.412,-1.494314884,-0.140891726,0.004690853
281507.9469,4866056.412,-1.541682555,0.053161274,0.030269649
281557.9469,4866056.412,-1.570245733,0.03198754,0.200694725
281607.9469,4866056.412,-1.602232166,0.022853553,-0.116982841
281657.9469,4866056.412,-1.637217662,-0.015458241,-0.28372064
281707.9469,4866056.412,-1.653609493,0.424046085,0.16754678
281757.9469,4866056.412,-1.602201714,0.600676158,0.713203767
281807.9469,4866056.412,-1.577000592,0.312681154,1.086911306
281857.9469,4866056.412,-1.597051604,0.043170101,0.867109555
281907.9469,4866056.412,-1.613761786,0.57792756,0.513346558
281957.9469,4866056.412,-1.599462396,-0.074032804,0.033226206
282007.9469,4866056.412,-1.648721432,0.014208197,0.294965832
282057.9469,4866056.412,-1.683707932,0.206563439,-0.238272684
282107.9469,4866056.412,-1.647309339,1.378909164,0.466021177
282157.9469,4866056.412,-1.59337675,-0.089625336,1.177355745
282207.9469,4866056.412,-1.631290514,0.013993239,-1.663515834
282257.9469,4866056.412,-1.623967177,1.19351632,-1.529292147
282307.9469,4866056.412,-1.609131363,1.37957022,-1.641102654
282357.9469,4866056.412,-1.60704491,-0.49669433,-1.367730076
282407.9469,4866056.412,-1.66368157,-0.80242023,0.514402214
282457.9469,4866056.412,-1.769626688,-0.776428048,1.002234677
282507.9469,4866056.412,-1.870456717,-0.844241782,1.026538774
282557.9469,4866056.412,-1.951112274,-0.968714681,0.029705186
282607.9469,4866056.412,-2.016204937,-0.841967237,0.117944392
282657.9469,4866056.412,-2.105491904,-0.793545936,1.061220374
282707.9469,4866056.412,-2.203805278,-0.84008129,-0.045774233
282757.9469,4866056.412,-2.263517184,-0.579380277,-0.209174763
282807.9469,4866056.412,-2.306400841,-0.687555629,-0.498322187
282857.9469,4866056.412,-2.353759754,-1.028570808,-0.47748461
282907.9469,4866056.412,-2.368971014,-1.185955482,-1.077768083
282957.9469,4866056.412,-2.397000524,-0.964558389,-0.527986899
283007.9469,4866056.412,-2.434605352,-1.160378891,-0.766223683
283057.9469,4866056.412,-2.453655301,-1.171951905,-0.919359533
283107.9469,4866056.412,-2.479807421,-1.15920372,-0.321834616
283157.9469,4866056.412,-2.508990172,-1.293587344,-0.468508991
283207.9469,4866056.412,-2.531355826,-1.110184112,-0.6416043
283257.9469,4866056.412,-2.570492299,-0.966404704,-0.426793745
283307.9469,4866056.412,-2.609645812,-1.062099346,-0.748722969
283357.9469,4866056.412,-2.644648956,-0.986547225,-0.640024552
283407.9469,4866056.412,-2.681333075,-0.844369178,-1.012561154
283457.9469,4866056.412,-2.702276608,-0.770710082,-1.5964348
283507.9469,4866056.412,-2.714907666,-0.708853496,-1.602748
283557.9469,4866056.412,-2.729198192,-0.948206821,-1.498725135
283607.9469,4866056.412,-2.740882681,-1.211452561,-1.472593081
283657.9469,4866056.412,-2.747921681,-1.261599492,-1.527519385
283707.9469,4866056.412,-2.754209796,-1.213449004,-1.610059671
283757.9469,4866056.412,-2.761346689,-1.068706104,-1.64083483
283807.9469,4866056.412,-2.769859723,-0.188206471,-1.633030146
283857.9469,4866056.412,-2.77385969,-0.015564111,-1.721278974
283907.9469,4866056.412,-2.774428648,-0.139561137,-1.485670314
283957.9469,4866056.412,-2.839740108,-0.50138268,0.328592378
284007.9469,4866056.412,-2.866279316,-0.25594946,-1.552770046
284057.9469,4866056.412,-2.868817158,0.24319296,-1.777576424
284107.9469,4866056.412,-2.871376896,0.088084769,-1.665089813
284157.9469,4866056.412,-2.873739734,0.178217957,-1.714843625
