band_num,band_age,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,obs,Color Band,d_banded,tars,mass,wing,sex,fm_site,species
246022741,AHY,.,.,.,.,.,.,.,.,b,rp,rp,rp,.,4,"BU/A, BK",6/14/07,15.69,9.7,60,U,Tate,CACH
259082234,HY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"a/p,o",7/13/09,13.96,7.6,58,U,Knight,CACH
259082618,U,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"bu/a,r",6/29/09,15.93,10,62,U,Tate,CACH
241137760,AHY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"pk/a,r",6/29/09,28.58,34,90,M,Tate,GRCA
241137756,U,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"PK/BU,A",6/29/09,29.27,37,89,U,Tate,GRCA
241137730,AHY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"o,a",6/11/09,24.27,44,90.5,M,Fuisz,NOCA
241137112,AHY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"p/o,a",6/7/09,24.72,43.2,93,M,Buising,NOCA
241137712,U,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"-,pk/a",5/30/09,,,,U,Fisher,GRCA
230156503,AHY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"G/Pk,a",5/13/09,27.96,35,91.5,M,Stewart,GRCA
244115009,AHY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"g/a,p",5/11/09,20.42,19,57,F,Raun,CARW
120299063,AHY,.,.,.,.,.,.,.,.,.,b,rp,rp,.,3,"pk/a,o",5/10/09,31.65,88,122,F,Reitsma,AMRO
226138333,AHY,.,.,.,.,.,.,.,b,.,.,rp,rp,.,5,"g,o/a",7/13/07,21.9,21,60,M,Gecan,SOSP
241137417,AHY,.,.,.,.,.,.,.,.,.,b,rc,rp,.,3,"a/y,y/y",6/30/09,27.145,32.25,90,M,O'Brien,GRCA
230176336,AHY,.,.,.,.,.,.,.,.,.,b,b,rp,.,3,"r/bk,a",6/30/10,27.39,33.4,93,M,"Woodward, Paul",GRCA
261037352,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"o,a",7/27/10,16.76,11,62,F,"Campbell, R.",CACH
246022978,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"bk/p,a",7/26/10,17.12,9.6,54,M,Raun,HOWR
225180389,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a,bk/g",7/26/10,21.21,19.4,59,M,Raun,CARW
234129357,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a,y/w",7/3/10,22.56,21.4,60,M,Fisher,CARW
242111758,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"A,R/w",7/2/10,23.85,44.6,92,F,Barbour,NOCA
242111664,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a/o,o/o",7/1/10,28.4,33.3,88,F,O'Brien,GRCA
259083161,HY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"pu,a/bu",6/30/10,16.24,9.6,63,U,"Woodward, Paul",CACH
242111663,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"w/g,a",6/30/10,26.56,37,88,F,Stann,GRCA
261037317,HY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"p,a/w",6/8/10,15.92,9.8,63,U,Salo,CACH
242111622,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"r/a,bk",6/8/10,24.22,40,92,M,Salo,NOCA
242111406,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"w,bk/a",6/7/10,28.16,39.3,87.5,F,Wilde,GRCA
129264252,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"p/pk,a",6/7/10,31.93,73.7,125,F,Wilde,AMRO
242111404,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"o,g/a",6/5/10,27.72,36.1,90,F,Stuebner,GRCA
261037312,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a,y/o",6/1/10,14.67,9.4,59,F,Knight,CACH
261037309,HY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"o,g/a",6/1/10,15.78,10.5,54,U,Knight,CACH
242111614,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"y/p,a",6/1/10,24.43,38.9,92,F,Knight,NOCA
242111612,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"r/o,a",6/1/10,24.95,40.7,93,M,Knight,NOCA
