"long","lat","dd","rel.abun"
-114.5001,60.4999,-155.453995361328,0.024975929912933
-114.1667,60.4999,-155.15000289917,0.0257944224034358
-113.8334,60.4999,-154.950496520996,0.0265166348736055
-113.5001,60.4999,-154.798493041992,0.027003450818646
-113.1667,60.4999,-154.732000579834,0.0271774595871505
-112.8334,60.4999,-154.618005218506,0.0271774595871505
-112.5001,60.4999,-154.608495941162,0.0288513503515933
-112.1667,60.4999,-154.741495361328,0.0286196414533945
-111.8334,60.4999,-154.827006378174,0.0284865950219181
-111.5001,60.4999,-155.377993621826,0.0282956123476848
-111.1667,60.4999,-152.271504058838,0.0294354940686825
-110.8334,60.4999,-152.2525,0.0294354940686825
-110.5001,60.4999,-152.404503479004,0.0290961143345499
-136.5,60.1665,-166.540493621826,0.00462013702519894
-136.1667,60.1665,-166.853995361328,0.00453344171950441
-135.8334,60.1665,-166.949001159668,0.00440947170371209
-135.5,60.1665,-169.181506958008,0.00646414520171557
-135.1667,60.1665,-165.88500579834,0.006570096429493
-134.8334,60.1665,-165.229503479004,0.00730736971569784
-134.5,60.1665,-163.909004058838,0.00730736971569784
-134.1667,60.1665,-164.288998260498,0.00704839877696581
-133.8334,60.1665,-168.8775,0.00815341446903996
-133.5,60.1665,-164.79249710083,0.00672079190248679
-133.1667,60.1665,-163.823493041992,0.00551862757275351
-132.8334,60.1665,-167.414506378174,0.00452400621520416
-132.5,60.1665,-167.35749420166,0.00244231867736704
-132.1667,60.1665,-163.918498840332,0.00344973195198972
-131.8334,60.1665,-164.896997680664,0.00318561633097771
-131.5,60.1665,-167.044006958008,0.00318561633097771
-131.1667,60.1665,-165.115493621826,0.0010697214007856
-130.8334,60.1665,-165.666495361328,0.00113718763405975
-130.5,60.1665,-164.621504058838,0.00120710220812412
-130.1667,60.1665,-162.474494781494,0.00120231558966405
-129.8334,60.1665,-165.001498260498,0.0012001011073847
-129.5001,60.1665,-163.93750289917,0.00104306501485335
-129.1667,60.1665,-163.27250579834,0.0123129240131497
-128.8334,60.1665,-159.292003479004,0.0139907483556299
-128.5001,60.1665,-158.778995361328,0.0139907483556299
-124.8334,60.1665,-157.078501739502,0.0864150788412997
-124.5001,60.1665,-156.660499420166,0.10579143498291
-124.1667,60.1665,-154.551498260498,0.131839618260795
-123.8334,60.1665,-159.177993621826,0.186538304936977
-123.5001,60.1665,-158.655505218506,0.148513437404276
-123.1667,60.1665,-158.969006958008,0.163683504921068
-122.8334,60.1665,-159.196997680664,0.170219350609324
-122.5001,60.1665,-152.271504058838,0.155657366050698
-122.1667,60.1665,-152.670502319336,0.125625843907438
-121.8334,60.1665,-153.06000579834,0.125625843907438
-114.8334,60.1665,-154.427993621826,0.0257809016512488
-114.5001,60.1665,-154.418498840332,0.026725347343303
-114.1667,60.1665,-154.475496520996,0.0293887141681375
-113.8334,60.1665,-154.323493041992,0.0293887141681375
-113.5001,60.1665,-154.143005218506,0.0305666855172341
-113.1667,60.1665,-153.96250289917,0.0317049046087485
-112.8334,60.1665,-153.848493041992,0.0310725511953459
-112.5001,60.1665,-153.544500579834,0.0301108462942789
-112.1667,60.1665,-153.516001739502,0.0297515346824379
-111.8334,60.1665,-153.592003479004,0.0311211609721267
