"site","species","count","foraging","diet"
68,"carw",1,"ground","insectivore"
68,"grca",2,"ground","omnivore"
68,"howr",1,"ground","insectivore"
68,"noca",2,"ground","omnivore"
68,"sosp",1,"ground","omnivore"
69,"cogr",2,"ground","omnivore"
69,"grca",2,"ground","omnivore"
69,"howr",1,"ground","insectivore"
69,"noca",2,"ground","omnivore"
69,"sosp",1,"ground","omnivore"
70,"amgo",1,"foliage","granivore"
70,"cach",1,"foliage","insectivore"
70,"carw",2,"ground","insectivore"
70,"grca",1,"ground","omnivore"
70,"howr",1,"ground","insectivore"
70,"modo",1,"ground","granivore"
70,"noca",2,"ground","omnivore"
70,"sosp",1,"ground","omnivore"
70,"tuti",2,"foliage","insectivore"
71,"amro",6,"ground","omnivore"
71,"carw",1,"ground","insectivore"
71,"cogr",1,"ground","omnivore"
71,"grca",1,"ground","omnivore"
71,"howr",1,"ground","insectivore"
71,"modo",3,"ground","granivore"
71,"noca",2,"ground","omnivore"
71,"sosp",1,"ground","omnivore"
72,"amro",1,"ground","omnivore"
72,"blja",2,"ground","omnivore"
72,"carw",2,"ground","insectivore"
72,"chsp",5,"ground","omnivore"
72,"grca",1,"ground","omnivore"
72,"howr",2,"ground","insectivore"
72,"noca",3,"ground","omnivore"
73,"amgo",2,"foliage","granivore"
73,"amro",5,"ground","omnivore"
73,"grca",1,"ground","omnivore"
73,"hofi",2,"ground","granivore"
73,"noca",3,"ground","omnivore"
73,"sosp",1,"ground","omnivore"
74,"amro",1,"ground","omnivore"
74,"blja",3,"ground","omnivore"
74,"carw",2,"ground","insectivore"
74,"grca",1,"ground","omnivore"
74,"modo",1,"ground","granivore"
74,"noca",3,"ground","omnivore"
74,"rbwo",1,"bark","omnivore"
75,"amro",5,"ground","omnivore"
75,"cach",1,"foliage","insectivore"
75,"carw",5,"ground","insectivore"
75,"howr",1,"ground","insectivore"
75,"noca",2,"ground","omnivore"
75,"wbnu",1,"bark","insectivore"
76,"amro",1,"ground","omnivore"
76,"bhco",1,"ground","omnivore"
76,"dowo",1,"bark","insectivore"
76,"grca",1,"ground","omnivore"
76,"howr",1,"ground","insectivore"
76,"modo",1,"ground","granivore"
76,"noca",2,"ground","omnivore"
76,"rbwo",1,"bark","omnivore"
76,"sosp",1,"ground","omnivore"
76,"wbnu",1,"bark","insectivore"
77,"amcr",1,"ground","omnivore"
77,"amro",2,"ground","omnivore"
77,"cach",3,"foliage","insectivore"
77,"carw",2,"ground","insectivore"
77,"hofi",1,"ground","granivore"
77,"howr",1,"ground","insectivore"
77,"modo",1,"ground","granivore"
77,"noca",7,"ground","omnivore"
77,"revi",1,"foliage","insectivore"
77,"sosp",1,"ground","omnivore"
78,"amro",2,"ground","omnivore"
78,"cach",2,"foliage","insectivore"
78,"grca",2,"ground","omnivore"
78,"noca",1,"ground","omnivore"
78,"sosp",3,"ground","omnivore"
79,"amcr",3,"ground","omnivore"
79,"blja",1,"ground","omnivore"
79,"cach",5,"foliage","insectivore"
79,"carw",1,"ground","insectivore"
79,"eabl",1,"aerial","insectivore"
79,"grca",2,"ground","omnivore"
79,"howr",2,"ground","insectivore"
79,"noca",4,"ground","omnivore"
79,"piwo",1,"bark","insectivore"
80,"amro",2,"ground","omnivore"
80,"noca",3,"ground","omnivore"
81,"cach",4,"foliage","insectivore"
81,"carw",3,"ground","insectivore"
81,"eabl",1,"aerial","insectivore"
81,"hofi",1,"ground","granivore"
81,"modo",1,"ground","granivore"
81,"noca",4,"ground","omnivore"
81,"tuti",5,"foliage","insectivore"
81,"wbnu",1,"bark","insectivore"
82,"amro",1,"ground","omnivore"
82,"blja",2,"ground","omnivore"
82,"cach",1,"foliage","insectivore"
82,"carw",1,"ground","insectivore"
82,"grca",4,"ground","omnivore"
82,"howr",1,"ground","insectivore"
82,"modo",1,"ground","granivore"
82,"noca",5,"ground","omnivore"
82,"revi",1,"foliage","insectivore"
83,"amgo",1,"foliage","granivore"
83,"cach",1,"foliage","insectivore"
83,"cedw",2,"foliage","omnivore"
83,"chsp",1,"ground","omnivore"
83,"dowo",1,"bark","insectivore"
83,"eabl",2,"aerial","insectivore"
83,"grca",4,"ground","omnivore"
83,"howr",3,"ground","insectivore"
83,"modo",1,"ground","granivore"
83,"rbwo",1,"bark","omnivore"
83,"woth",3,"ground","insectivore"
84,"amro",2,"ground","omnivore"
84,"carw",1,"ground","insectivore"
84,"cogr",1,"ground","omnivore"
84,"grca",1,"ground","omnivore"
84,"howr",1,"ground","insectivore"
84,"modo",1,"ground","granivore"
84,"noca",2,"ground","omnivore"
84,"sosp",2,"ground","omnivore"
85,"amro",1,"ground","omnivore"
85,"bhco",1,"ground","omnivore"
85,"cogr",3,"ground","omnivore"
85,"grca",1,"ground","omnivore"
85,"hawo",1,"bark","insectivore"
85,"howr",1,"ground","insectivore"
85,"noca",2,"ground","omnivore"
85,"rbwo",2,"bark","omnivore"
85,"sosp",2,"ground","omnivore"
86,"amro",1,"ground","omnivore"
86,"blja",4,"ground","omnivore"
86,"cach",3,"foliage","insectivore"
86,"carw",1,"ground","insectivore"
86,"grca",2,"ground","omnivore"
86,"modo",1,"ground","granivore"
86,"noca",5,"ground","omnivore"
86,"sosp",1,"ground","omnivore"
86,"tuti",3,"foliage","insectivore"
87,"amro",4,"ground","omnivore"
87,"blja",7,"ground","omnivore"
87,"grca",2,"ground","omnivore"
87,"hofi",6,"ground","granivore"
87,"howr",1,"ground","insectivore"
87,"noca",3,"ground","omnivore"
88,"amro",1,"ground","omnivore"
88,"grca",3,"ground","omnivore"
88,"hofi",3,"ground","granivore"
88,"noca",3,"ground","omnivore"
88,"rbwo",1,"bark","omnivore"
89,"amro",2,"ground","omnivore"
89,"cogr",4,"ground","omnivore"
89,"eawp",1,"aerial","insectivore"
89,"grca",1,"ground","omnivore"
89,"modo",2,"ground","granivore"
89,"noca",2,"ground","omnivore"
89,"sosp",1,"ground","omnivore"
89,"tuti",1,"foliage","insectivore"
89,"wbnu",1,"bark","insectivore"
90,"amcr",1,"ground","omnivore"
90,"cach",4,"foliage","insectivore"
90,"grca",2,"ground","omnivore"
90,"howr",1,"ground","insectivore"
90,"modo",1,"ground","granivore"
90,"noca",1,"ground","omnivore"
90,"rthu",1,"foliage","nectarivore"
90,"sosp",2,"ground","omnivore"
90,"tuti",1,"foliage","insectivore"
91,"amcr",3,"ground","omnivore"
91,"amgo",1,"foliage","granivore"
91,"amro",1,"ground","omnivore"
91,"cach",1,"foliage","insectivore"
91,"carw",2,"ground","insectivore"
91,"ficr",1,"ground","omnivore"
91,"noca",4,"ground","omnivore"
91,"tuti",1,"foliage","insectivore"
92,"amro",1,"ground","omnivore"
92,"cach",1,"foliage","insectivore"
92,"cogr",1,"ground","omnivore"
92,"howr",3,"ground","insectivore"
92,"modo",1,"ground","granivore"
92,"noca",2,"ground","omnivore"
92,"sosp",4,"ground","omnivore"
93,"amgo",2,"foliage","granivore"
93,"noca",2,"ground","omnivore"
93,"revi",1,"foliage","insectivore"
93,"tuti",1,"foliage","insectivore"
93,"wbnu",1,"bark","insectivore"
94,"amro",1,"ground","omnivore"
94,"cogr",5,"ground","omnivore"
94,"grca",1,"ground","omnivore"
94,"hofi",10,"ground","granivore"
94,"noca",5,"ground","omnivore"
94,"rbwo",1,"bark","omnivore"
95,"amro",2,"ground","omnivore"
95,"dowo",1,"bark","insectivore"
95,"grca",3,"ground","omnivore"
95,"noca",2,"ground","omnivore"
95,"rbwo",1,"bark","omnivore"
96,"amro",2,"ground","omnivore"
96,"blja",1,"ground","omnivore"
96,"carw",2,"ground","insectivore"
96,"dowo",1,"bark","insectivore"
96,"grca",1,"ground","omnivore"
96,"howr",1,"ground","insectivore"
96,"noca",4,"ground","omnivore"
96,"rbwo",2,"bark","omnivore"
96,"tuti",2,"foliage","insectivore"
97,"carw",1,"ground","insectivore"
97,"grca",2,"ground","omnivore"
97,"howr",3,"ground","insectivore"
97,"noca",3,"ground","omnivore"
98,"cogr",2,"ground","omnivore"
98,"coye",1,"foliage","insectivore"
98,"grca",6,"ground","omnivore"
98,"howr",1,"ground","insectivore"
98,"noca",1,"ground","omnivore"
98,"sosp",2,"ground","omnivore"
99,"amcr",1,"ground","omnivore"
99,"amro",2,"ground","omnivore"
99,"cach",2,"foliage","insectivore"
99,"carw",2,"ground","insectivore"
99,"cedw",1,"foliage","omnivore"
99,"eabl",2,"aerial","insectivore"
99,"inbu",2,"ground","omnivore"
99,"noca",2,"ground","omnivore"
99,"nomo",2,"ground","omnivore"
99,"rwbl",1,"ground","omnivore"
99,"tuti",2,"foliage","insectivore"
100,"amro",5,"ground","omnivore"
100,"carw",1,"ground","insectivore"
100,"grca",5,"ground","omnivore"
100,"modo",1,"ground","granivore"
100,"noca",2,"ground","omnivore"
100,"nomo",1,"ground","omnivore"
100,"wbnu",1,"bark","insectivore"
